id,name,artists,duration_ms,time_signature,reviews
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,233713,4,vocal has a nice warm quality.
5CtI0qwDJkDQGwXD1H1cL,Despacito - Remix,Luis Fonsi,228827,4,Very European feeling. I like that the singer makes the words flow effortlessly and the subtle latin feel.
4aWmUDTfIPGksMNLV2rQP,Despacito (Featuring Daddy Yankee),Luis Fonsi,228200,4,Unique and quirky. Arrangement was good and nicely thought out. I liked this tune. Good luck to you!
6RUKPb4LETWmmr3iAEQkt,Something Just Like This,The Chainsmokers,247160,4,Tastefully put together song. Good instrumentation and melody. Good job.
3DXncPQOG4VBw3QHh3S81,I'm the One,DJ Khaled,288600,4,Your voice is awesome
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,177000,4,You have the voice of the legendary singer/songwriter!
3eR23VReFzcdmS7TYCrhC,It Ain't Me (with Selena Gomez),Kygo,220781,4,"You have shown the the quality of the song, reminds me of something that I would sing."
3B54sVLJ402zGa6Xm4YGN,Unforgettable,French Montana,233902,4,You have a very unique style
0KKkJNfGyhkQ5aFogxQAP,That's What I Like,Bruno Mars,206693,4,You have a really cool voice! I like the way you are exploring the idea of lost love here!
3NdDpSvN911VPGivFlV5d,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,245200,4,"Voice has good timbre, good tone."
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,182707,4,vocals are strong and the song is nicely moody.
72jbDTw1piOOj770jWNea,Paris,The Chainsmokers,221507,4,Vocal tone is nice.
0dA2Mk56wEzDgegdC6R17,Stay (with Alessia Cara),Zedd,210091,4,"Very warm voice, I think is the right voice for the lyrics, beautiful song!! Keep going ."
4iLqG9SeJSnt0cSPICSjx,Attention,Charlie Puth,211475,4,"Very Very unique. Interesting vocal presentation, the accentuation on various phrasing."
0VgkVdmE4gld66l8iyGjg,Mask Off,Future,204600,4,Very smooth sound...really matches the theme...This is your best recording...Some really cool lyrics...very unusual...Perfect fade out...loved that organ at the end.
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,220293,4,"Very reminding of old real country, keep going,"
6kex4EBAj0WHXDKZMEJaa,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,216409,4,Very oddball. I love it. Intriguing and somehow really catchy.
